Time,Voltage,Voltage_0,Voltage_1
31:52.9,0.198284,0.210048,0.487698
31:53.0,0.199813,0.210048,0.487698
31:53.1,0.200831,0.210048,0.487698
31:53.2,0.198794,0.210048,0.487698
31:53.3,0.198794,0.210048,0.487698
31:53.4,0.199303,0.210048,0.487698
31:53.5,0.199813,0.210048,0.487698
31:53.6,0.198794,0.210048,0.487698
31:53.7,0.198284,0.210048,0.487698
31:53.8,0.198794,0.210048,0.487698
31:53.9,0.198794,0.210048,0.487698
31:54.0,0.199303,0.210048,0.487698
31:54.1,0.200831,0.210048,0.487698
31:54.2,0.198284,0.210048,0.487698
31:54.3,0.198284,0.210048,0.487698
31:54.4,0.199813,0.210048,0.487698
31:54.5,0.198284,0.210048,0.487698
31:54.6,0.200831,0.210048,0.482606
31:54.7,0.198284,0.210048,0.487698
31:54.8,0.199303,0.210048,0.487698
31:54.9,0.198794,0.210048,0.487698
31:55.0,0.194719,0.418856,0.441875
31:55.1,0.198284,0.306813,0.406235
31:55.2,0.187588,0.225327,0.482606
31:55.3,0.206434,0.199862,0.472423
31:55.4,0.194719,0.210048,0.492789
31:55.5,0.195738,0.19477,0.477515
31:55.6,0.200322,0.250791,0.472423
31:55.7,0.198284,0.215141,0.487698
31:55.8,0.199813,0.179491,0.492789
31:55.9,0.198284,0.210048,0.487698
31:56.0,0.198284,0.204955,0.482606
31:56.1,0.200322,0.220234,0.487698
31:56.2,0.199303,0.215141,0.487698
31:56.3,0.199813,0.189677,0.492789
31:56.4,0.197266,0.210048,0.492789
31:56.5,0.200831,0.215141,0.482606
31:56.6,0.196756,0.19477,0.492789
31:56.7,0.199303,0.210048,0.492789
31:56.8,0.198284,0.210048,0.487698
31:56.9,0.197266,0.215141,0.487698
31:57.0,0.198284,0.210048,0.487698
31:57.1,0.200322,0.276256,0.477515
31:57.2,0.198284,0.210048,0.487698
31:57.3,0.196756,0.220234,0.477515
31:57.4,0.196756,0.215141,0.492789
31:57.5,0.194719,0.199862,0.487698
31:57.6,0.196756,0.204955,0.487698
31:57.7,0.198794,0.210048,0.487698
31:57.8,0.199303,0.215141,0.487698
31:57.9,0.199303,0.210048,0.482606
31:58.0,0.198284,0.210048,0.482606
31:58.1,0.198794,0.210048,0.487698
31:58.2,0.198794,0.210048,0.487698
31:58.3,0.197775,0.210048,0.487698
31:58.4,0.198794,0.210048,0.487698
31:58.5,0.199303,0.210048,0.487698
31:58.6,0.20185,0.210048,0.487698
31:58.7,0.199303,0.235513,0.482606
31:58.8,0.200831,0.210048,0.492789
31:58.9,0.201341,0.210048,0.487698
31:59.0,0.198794,0.199862,0.482606
31:59.1,0.194719,0.215141,0.492789
31:59.2,0.197266,0.204955,0.492789
31:59.3,0.198794,0.215141,0.487698
31:59.4,0.198794,0.215141,0.487698
31:59.5,0.198794,0.204955,0.487698
31:59.6,0.198794,0.204955,0.487698
31:59.7,0.199303,0.210048,0.487698
31:59.8,0.199813,0.210048,0.487698
31:59.9,0.198794,0.215141,0.487698
32:00.0,0.198794,0.210048,0.487698
32:00.1,0.198794,0.210048,0.487698
32:00.2,0.197775,0.210048,0.487698
32:00.3,0.198284,0.210048,0.487698
32:00.4,0.198794,0.215141,0.487698
32:00.5,0.199813,0.210048,0.487698
32:00.6,0.206434,0.276256,0.492789
32:00.7,0.194719,0.215141,0.492789
32:00.8,0.200322,0.215141,0.487698
32:00.9,0.197775,0.215141,0.472423
32:01.0,0.198794,0.184584,0.477515
32:01.1,0.200322,0.215141,0.492789
32:01.2,0.197266,0.199862,0.487698
32:01.3,0.199813,0.210048,0.487698
32:01.4,0.200322,0.210048,0.487698
32:01.5,0.198284,0.210048,0.487698
32:01.6,0.198284,0.199862,0.487698
32:01.7,0.199813,0.215141,0.487698
32:01.8,0.197266,0.215141,0.487698
32:01.9,0.197775,0.215141,0.482606
32:02.0,0.203378,0.215141,0.492789
32:02.1,0.198794,0.215141,0.472423
32:02.2,0.204906,0.26607,0.513155
32:02.3,0.198284,0.210048,0.492789
32:02.4,0.199813,0.210048,0.487698
32:02.5,0.198794,0.215141,0.482606
32:02.6,0.198284,0.210048,0.487698
32:02.7,0.199813,0.215141,0.487698
32:02.8,0.198794,0.210048,0.487698
32:02.9,0.199303,0.210048,0.487698
32:03.0,0.199813,0.215141,0.487698
32:03.1,0.199813,0.210048,0.487698
32:03.2,0.200322,0.204955,0.487698
32:03.3,0.199303,0.215141,0.487698
32:03.4,0.200831,0.210048,0.487698
32:03.5,0.200322,0.210048,0.487698
32:03.6,0.200322,0.215141,0.487698
32:03.7,0.199303,0.210048,0.487698
32:03.8,0.198794,0.215141,0.487698
32:03.9,0.199813,0.215141,0.492789
32:04.0,0.198794,0.215141,0.487698
32:04.1,0.200831,0.215141,0.487698
32:04.2,0.200831,0.210048,0.487698
32:04.3,0.200831,0.210048,0.487698
32:04.4,0.200322,0.215141,0.487698
32:04.5,0.200831,0.210048,0.492789
32:04.6,0.200322,0.210048,0.487698
32:04.7,0.200322,0.210048,0.487698
32:04.8,0.200322,0.210048,0.487698
32:04.9,0.200322,0.215141,0.487698
