Time,Voltage,Voltage_0,Voltage_1
31:02.0,0.198794,0.210048,0.487698
31:02.1,0.198284,0.210048,0.487698
31:02.2,0.198284,0.210048,0.487698
31:02.3,0.198284,0.210048,0.487698
31:02.4,0.198794,0.210048,0.487698
31:02.5,0.198794,0.210048,0.487698
31:02.6,0.199303,0.210048,0.487698
31:02.7,0.199303,0.210048,0.487698
31:02.8,0.198794,0.210048,0.487698
31:02.9,0.198794,0.210048,0.487698
31:03.0,0.199813,0.210048,0.487698
31:03.1,0.198794,0.210048,0.487698
31:03.2,0.198794,0.210048,0.487698
31:03.3,0.198284,0.210048,0.492789
31:03.4,0.199813,0.210048,0.487698
31:03.5,0.199303,0.210048,0.487698
31:03.6,0.198794,0.210048,0.487698
31:03.7,0.199813,0.210048,0.487698
31:03.8,0.20185,0.210048,0.487698
31:03.9,0.200322,0.210048,0.492789
31:04.0,0.195738,0.215141,0.492789
31:04.1,0.199303,0.210048,0.487698
31:04.2,0.204397,0.204955,0.487698
31:04.3,0.200831,0.210048,0.487698
31:04.4,0.197775,0.210048,0.492789
31:04.5,0.200322,0.210048,0.487698
31:04.6,0.201341,0.215141,0.487698
31:04.7,0.200831,0.210048,0.487698
31:04.8,0.200322,0.215141,0.487698
31:04.9,0.200322,0.210048,0.492789
31:05.0,0.200831,0.210048,0.487698
31:05.1,0.200322,0.210048,0.487698
31:05.2,0.199813,0.210048,0.487698
31:05.3,0.201341,0.215141,0.492789
31:05.4,0.200322,0.210048,0.487698
31:05.5,0.200831,0.210048,0.492789
31:05.6,0.201341,0.215141,0.487698
31:05.7,0.200831,0.210048,0.487698
31:05.8,0.200831,0.210048,0.492789
31:05.9,0.201341,0.215141,0.492789
31:06.0,0.200322,0.215141,0.487698
31:06.1,0.200831,0.215141,0.487698
31:06.2,0.203887,0.215141,0.487698
31:06.3,0.200831,0.210048,0.487698
31:06.4,0.198284,0.215141,0.492789
31:06.5,0.202359,0.215141,0.492789
31:06.6,0.204397,0.210048,0.487698
31:06.7,0.201341,0.215141,0.492789
31:06.8,0.199813,0.210048,0.492789
31:06.9,0.202359,0.210048,0.487698
31:07.0,0.202869,0.210048,0.492789
31:07.1,0.200831,0.215141,0.492789
31:07.2,0.202359,0.215141,0.487698
31:07.3,0.20185,0.210048,0.492789
31:07.4,0.200322,0.215141,0.492789
31:07.5,0.202359,0.215141,0.492789
