Time,Voltage,Voltage_0,Voltage_1
33:57.5,0.198794,0.210048,0.487698
33:57.6,0.199813,0.210048,0.487698
33:57.7,0.197775,0.215141,0.487698
33:57.8,0.199303,0.210048,0.487698
33:57.9,0.199813,0.210048,0.487698
33:58.0,0.199303,0.210048,0.487698
33:58.1,0.199303,0.210048,0.487698
33:58.2,0.197266,0.210048,0.492789
33:58.3,0.198794,0.210048,0.487698
33:58.4,0.198794,0.210048,0.482606
33:58.5,0.199303,0.210048,0.487698
33:58.6,0.198794,0.210048,0.487698
33:58.7,0.199813,0.210048,0.482606
33:58.8,0.200322,0.210048,0.487698
33:58.9,0.199813,0.210048,0.487698
33:59.0,0.198794,0.210048,0.487698
33:59.1,0.198794,0.210048,0.487698
33:59.2,0.199813,0.210048,0.487698
33:59.3,0.198794,0.210048,0.487698
33:59.4,0.198794,0.210048,0.487698
33:59.5,0.199813,0.215141,0.487698
33:59.6,0.200322,0.210048,0.487698
33:59.7,0.198284,0.215141,0.487698
33:59.8,0.200322,0.210048,0.487698
33:59.9,0.200322,0.210048,0.487698
34:00.0,0.200322,0.215141,0.487698
34:00.1,0.198794,0.210048,0.487698
34:00.2,0.199813,0.210048,0.492789
34:00.3,0.200322,0.215141,0.487698
34:00.4,0.200322,0.215141,0.487698
34:00.5,0.200322,0.215141,0.487698
34:00.6,0.204906,0.199862,0.452058
34:00.7,0.162119,0.235513,0.426601
34:00.8,0.202359,0.210048,0.528429
34:00.9,0.205925,0.210048,0.477515
34:01.0,0.202359,0.210048,0.492789
34:01.1,0.190644,0.204955,0.49788
34:01.2,0.214584,0.215141,0.502972
34:01.3,0.196756,0.215141,0.508063
34:01.4,0.175363,0.210048,0.467332
34:01.5,0.21815,0.215141,0.513155
34:01.6,0.212037,0.210048,0.49788
34:01.7,0.181475,0.215141,0.452058
34:01.8,0.214075,0.215141,0.508063
34:01.9,0.208981,0.215141,0.523337
34:02.0,0.187588,0.215141,0.492789
34:02.1,0.192681,0.210048,0.513155
34:02.2,0.211019,0.204955,0.502972
34:02.3,0.21815,0.210048,0.523337
34:02.4,0.176891,0.204955,0.492789
34:02.5,0.196756,0.210048,0.508063
34:02.6,0.192172,0.215141,0.487698
34:02.7,0.204397,0.204955,0.508063
34:02.8,0.21815,0.220234,0.477515
34:02.9,0.211019,0.215141,0.42151
34:03.0,0.213566,0.215141,0.513155
34:03.1,0.183003,0.210048,0.482606
34:03.2,0.200322,0.210048,0.508063
34:03.3,0.197775,0.215141,0.49788
34:03.4,0.200831,0.215141,0.492789
34:03.5,0.198794,0.215141,0.492789
34:03.6,0.20185,0.215141,0.492789
34:03.7,0.200831,0.215141,0.492789
34:03.8,0.201341,0.215141,0.492789
34:03.9,0.201341,0.215141,0.492789
34:04.0,0.200831,0.215141,0.492789
34:04.1,0.202359,0.215141,0.492789
34:04.2,0.200831,0.215141,0.492789
34:04.3,0.202359,0.215141,0.492789
34:04.4,0.200322,0.215141,0.492789
34:04.5,0.20185,0.215141,0.492789
34:04.6,0.200831,0.215141,0.492789
34:04.7,0.200831,0.215141,0.492789
34:04.8,0.20185,0.215141,0.492789
34:04.9,0.201341,0.215141,0.492789
34:05.0,0.200831,0.215141,0.492789
34:05.1,0.201341,0.215141,0.492789
34:05.2,0.201341,0.215141,0.492789
34:05.3,0.202359,0.215141,0.492789
34:05.4,0.202869,0.215141,0.492789
34:05.5,0.201341,0.215141,0.492789
34:05.6,0.201341,0.215141,0.492789
34:05.7,0.202359,0.215141,0.492789
34:05.8,0.201341,0.215141,0.492789
34:05.9,0.20185,0.215141,0.492789
34:06.0,0.200831,0.215141,0.492789
34:06.1,0.200831,0.215141,0.492789
34:06.2,0.200831,0.215141,0.492789
34:06.3,0.200831,0.215141,0.492789
34:06.4,0.200831,0.215141,0.492789
34:06.5,0.20185,0.215141,0.492789
