Time,Voltage,Voltage_0,Voltage_1
21:04.4,0.198794,0.210048,0.487698
21:04.5,0.199303,0.210048,0.487698
21:04.6,0.200322,0.210048,0.487698
21:04.7,0.200322,0.215141,0.487698
21:04.8,0.200322,0.210048,0.487698
21:04.9,0.199813,0.210048,0.487698
21:05.0,0.199303,0.210048,0.487698
21:05.1,0.199813,0.210048,0.487698
21:05.2,0.198794,0.210048,0.487698
21:05.3,0.197266,0.210048,0.487698
21:05.4,0.198794,0.210048,0.487698
21:05.5,0.198284,0.210048,0.487698
21:05.6,0.198794,0.215141,0.487698
21:05.7,0.198284,0.210048,0.487698
21:05.8,0.197775,0.210048,0.487698
21:05.9,0.199303,0.210048,0.487698
21:06.0,0.200322,0.210048,0.487698
21:06.1,0.199303,0.210048,0.487698
21:06.2,0.198794,0.210048,0.487698
21:06.3,0.198284,0.210048,0.487698
21:06.4,0.198794,0.210048,0.492789
21:06.5,0.198284,0.210048,0.487698
21:06.6,0.198284,0.210048,0.487698
21:06.7,0.198794,0.210048,0.487698
21:06.8,0.200322,0.210048,0.487698
21:06.9,0.199813,0.210048,0.487698
21:07.0,0.198794,0.210048,0.487698
21:07.1,0.197775,0.210048,0.487698
21:07.2,0.198284,0.210048,0.487698
21:07.3,0.198284,0.210048,0.487698
21:07.4,0.200322,0.210048,0.487698
21:07.5,0.200322,0.210048,0.487698
21:07.6,0.198794,0.210048,0.487698
21:07.7,0.198794,0.210048,0.487698
21:07.8,0.198794,0.210048,0.487698
21:07.9,0.198284,0.210048,0.487698
21:08.0,0.199813,0.210048,0.487698
21:08.1,0.200322,0.210048,0.487698
21:08.2,0.200322,0.210048,0.487698
21:08.3,0.198284,0.210048,0.487698
21:08.4,0.198284,0.210048,0.487698
21:08.5,0.198284,0.210048,0.487698
21:08.6,0.198284,0.210048,0.492789
21:08.7,0.198284,0.210048,0.487698
21:08.8,0.198284,0.210048,0.487698
21:08.9,0.198284,0.215141,0.487698
21:09.0,0.199813,0.210048,0.487698
21:09.1,0.199303,0.210048,0.487698
21:09.2,0.199813,0.210048,0.487698
21:09.3,0.198794,0.210048,0.487698
21:09.4,0.198794,0.210048,0.487698
21:09.5,0.199813,0.210048,0.487698
21:09.6,0.200322,0.210048,0.487698
21:09.7,0.199813,0.210048,0.487698
21:09.8,0.198284,0.210048,0.487698
21:09.9,0.198794,0.210048,0.487698
21:10.0,0.199303,0.215141,0.487698
21:10.1,0.199813,0.210048,0.487698
21:10.2,0.199813,0.210048,0.487698
21:10.3,0.198284,0.210048,0.487698
21:10.4,0.197775,0.210048,0.487698
21:10.5,0.199303,0.210048,0.487698
21:10.6,0.198794,0.210048,0.487698
21:10.7,0.198794,0.210048,0.492789
21:10.8,0.199813,0.210048,0.487698
21:10.9,0.198794,0.210048,0.487698
21:11.0,0.198794,0.210048,0.487698
21:11.1,0.198794,0.215141,0.487698
21:11.2,0.198794,0.210048,0.487698
21:11.3,0.198284,0.210048,0.487698
21:11.4,0.198794,0.215141,0.487698
21:11.5,0.197775,0.210048,0.487698
21:11.6,0.198794,0.210048,0.487698
